Feature,Average_Importance
rolling_mean_168,781.0
rolling_min_24,777.8333333333334
ema_168,712.875
rolling_median_24,589.5
hour,584.0416666666666
rolling_std_24,542.2083333333334
rolling_kurtosis_24,540.25
rolling_max_24,526.7083333333334
rolling_mean_12,525.75
rolling_skew_24,521.375
lag_12,499.4166666666667
month,497.8333333333333
lag_48,488.8333333333333
lag_168,478.75
rolling_mean_24,474.625
lag_6,467.75
lag_72,467.5833333333333
rolling_mean_6,462.2916666666667
daily_change,449.4583333333333
lag_24,447.2916666666667
rolling_range_24,440.9166666666667
lag_1,431.9583333333333
hour_cos,417.25
hourly_change,388.5416666666667
hour_sin,385.2916666666667
weekday,379.9583333333333
lag_3,377.5
lag_2,368.5
ema_24,353.8333333333333
weekday_sin,311.1666666666667
weekday_cos,172.20833333333334
is_month_end,43.916666666666664
quarter,39.333333333333336
is_weekend,28.625
is_month_start,25.625
