Horizon,Model_MAE,Naive_Baseline_MAE,Improvement_vs_Baseline (%)
1,0.32515253133437594,0.5761713981628418,43.56670040006412
2,0.3988695776678388,0.6355934143066406,37.244538931706884
3,0.418892688165657,0.695819079875946,39.7986200320435
4,0.42656667029075723,0.7373678684234619,42.15008701114368
5,0.43137055242715816,0.7703249454498291,44.0014821050277
6,0.43138500030021104,0.7917501926422119,45.515011640148494
7,0.4350805043506973,0.7990565299987793,45.55072288172629
8,0.4399505979748009,0.7934886813163757,44.554899353455795
9,0.4383943220108155,0.7667840719223022,42.82688724717827
10,0.43736666164137505,0.7291136384010315,40.01392394736526
11,0.43766601776900094,0.6951029300689697,37.03579731341735
12,0.43795820772577676,0.6906017661094666,36.583103429776564
13,0.44194596960834054,0.7098969221115112,37.74505060624572
14,0.4380571164462572,0.7429168224334717,41.03550986887428
15,0.43551950064896205,0.7791060209274292,44.10009819581037
16,0.43674330588650023,0.8056004643440247,45.786611947632544
17,0.43777257921443263,0.8050666451454163,45.62281497386352
18,0.4383244236950152,0.799799919128418,45.195740433097406
19,0.44076526594079724,0.7763019800186157,43.222447283951574
20,0.441396659401984,0.7425473928451538,40.55643267283949
21,0.43590658458818543,0.6984111070632935,37.58596044941172
22,0.43428113487766284,0.6474899053573608,32.92850880231475
23,0.43404093240216096,0.5899309515953064,26.425129715873297
24,0.4346706427336576,0.555945873260498,21.814215440720588
